"lemma","présent","passécomposé","futur","subjonctif"
"méfaire","je méfais, nous méfaisons","j’ai méfait","je méferai","que je méfasse, que nous méfassions"
"parfaire","je parfais, nous parfaisons","j’ai parfait","je parferai","que je parfasse, que nous parfassions"
"redéfaire","je redéfais, nous redéfaisons","j’ai redéfait","je redéferai","que je redéfasse, que nous redéfassions"
"refaire","je refais, nous refaisons","j’ai refait","je referai","que je refasse, que nous refassions"
"satisfaire","je satisfais, nous satisfaisons","j’ai satisfait","je satisferai","que je satisfasse, que nous satisfassions"
"surfaire","je surfais, nous surfaisons","j’ai surfait","je surferai","que je surfasse, que nous surfassions"
"falloir","il faut","il a fallu","il faudra","qu`il faille"
"fuir","je fuis, nous fuyons","j’ai fui","je fuirai","que je fuie, que nous fuyions"
"s’enfuir","je m'enfuis, nous nous enfuyons","je me suis enfui","je m'enfuirai","que je m'enfuie"
"joindre","je joins, nous joignons","j`ai joint","je joindrai","que je joigne"
"adjoindre","j`adjoins, nous adjoignons","j`ai adjoint","j`adjoindrai","que j`adjoigne"
"conjoindre","je conjoins, nous conjoignons","j`ai conjoint","je conjoindrai","que je conjoigne"
"disjoindre","je disjoins, nous disjoignons","j`ai disjoint","je disjoindrai","que je disjoigne"
"enjoindre","j`enjoins, nous enjoignons","j`ai enjoint","j`enjoindrai","que j`enjoigne"
"rejoindre","je rejoins, nous rejoignons","j`ai rejoint","je rejoindrai","que je rejoigne"
"oindre","j`oins, nous oignons","j`ai oint","j`oindrai","que j`oigne"
"poindre","je poins, nous poignons","j`ai point","je poindrai","que je poigne"
"lire","je lis","j’ai lu","je lirai","que je lise "
"élire","j`élis","j’ai élu","j`élirai","que j`élise "
"réélire","je réélis","j’ai réélu","je réélirai","que je réélise "
"relire","je relis","j’ai relu","je relirai","que je relise "
"luire","je luis","j`ai lui","je luirai","que je luise"
"entre-luire","j`entre-luis","j`ai entre-lui","j`entre-luirai","que j`entre-luise"
"reluire","je reluis","j`ai relui","je reluirai","que je reluise"
"nuire","je nuis, nous nuisons","j’ai nui","je nuirai","que je nuise "
"s’entre-nuire","je m`entre-nuis, nous nous entre-nuisons","je me suis entre-nui","je m`entre-nuirai","que je m`entre-nuise"
"mettre","je mets, nous mettons","j’ai mis","je mettrai","que je mette "
"admettre","j`admets, nous admettons","j’ai admis","j`admettrai","que j`admette "
"commettre","je commets, nous commettons","j’ai commis","je commettrai","que je commette "
"démettre","je démets, nous démettons","j’ai démis","je démettrai","que je démette "
"émettre","j`émets, nous émettons","j’ai émis","j`émettrai","que j`émette "
"s’entremettre","je me suis entremets, nous nous entremettons","je me suis entremis","je me entremettrai","que je me entremette "
"omettre","j`omets, nous omettons","j’ai omis","j`omettrai","que j`omette "
"permettre","je permets, nous permettons","j’ai permis","je permettrai","que je permette "
"promettre","je promets, nous promettons","j’ai promis","je promettrai","que je promette "
"réadmettre","je réadmets, nous réadmettons","j’ai réadmis","je réadmettrai","que je réadmette "
"remettre","je remets, nous remettons","j’ai remis","je remettrai","que je remette "
"retransmettre","je retransmets, nous retransmettons","j’ai retransmis","je retransmettrai","que je retransmette "
"soumettre","je soumets, nous soumettons","j’ai soumis","je soumettrai","que je soumette "
"transmettre","je transmets, nous transmettons","j’ai transmis","je transmettrai","que je transmette "
"moudre","je mouds, nous moulons","j`ai moulu","je moudrai","que je moule"
"émoudre","j`émouds, nous émoulons","j`ai émoulu","j`émoudrai","que j`émoule"
"remoudre","je remouds, nous remoulons","j`ai remoulu","je remoudrai","que je remoule"
"mourir","je meurs, nous mourons","je suis mort","je mourrai","que je meure, que nous mourions"
"mouvoir","je meus, nous mouvons","j`ai mû","je mouvrai","que je meuve"
"émouvoir","j`émeus, nous émouvons","j`ai ému","j`émouvrai","que j`émeuve"
"promouvoir","je promeus, nous promouvons","j`ai promu","je promouvrai","que je promeuve"
"naître","je nais, nous naissons","je suis né","je naîtrai","que je naisse"
"renaître","je renais, nous renaissons","je suis rené","je renaîtrai","que je renaisse"
"ouîr","j`ouïs/j`ois, nous ouïssons/nous oyons","j`ai ouï","j`ouïrai/j`orrai/j`oirai","que j`ouïsse/j`oie"
"gésir","je gis, il gît, nous gisons","j`ai jeü/j`ai ju","je gerrai","que je gise"
"paître","je pais, nous paissons","j`ai pu","je paîtrai","que je paisse"
"repaître","je repais, nous repaissons","j`ai repu","je repaîtrai","que je repaisse"
"peindre","je peins, nous peignons","j`ai peint","je peindrai","que je peigne"
"dépeindre","je dépeins, nous dépeignons","j`ai dépeint","je dépeindrai","que je dépeigne"
"repeindre","je repeins, nous repeignons","j`ai repeint","je repeindrai","que je repeigne"
"astreindre","j`astreins, nous astreignons","j`ai astreint","j`astreindrai","que j`astreigne"
"étreindre","j`étreins, nous étreignons","j`ai étreint","j`étreindrai","que j`étreigne"
"restreindre","je restreins, nous restreignons","j`ai restreint","je restreindrai","que je restreigne"
"atteindre","j`atteins, nous atteignons","j`ai atteint","j`atteindrai","que j`atteigne"
"ceindre","je ceins, nous ceignons","j`ai ceint","je ceindrai","que je ceigne"
